,split_0,split_1,split_2,mean,std,min,max
worst radius,0.0,0.29253242228948473,0.14576769486892116,0.14610003905280197,0.11942609252066255,0.0,0.29253242228948473
mean symmetry,0.22335147111906428,0.0,0.0,0.07445049037302143,0.10528889321085444,0.0,0.22335147111906428
worst concave points,0.12070590674848508,0.05625305868220843,0.031817524580682474,0.06959216333712533,0.03749430984250323,0.031817524580682474,0.12070590674848508
worst area,0.16163317640372635,0.0,0.0,0.05387772546790878,0.0761946100665309,0.0,0.16163317640372635
worst perimeter,0.124244472263396,0.0,0.0,0.04141482408779867,0.05856940590826081,0.0,0.124244472263396
fractal dimension error,0.0,0.12364627521115311,0.0,0.04121542507038437,0.05828741311350965,0.0,0.12364627521115311
worst texture,0.0,0.0389413418412526,0.07973042647808432,0.039557256106445636,0.03255272379162613,0.0,0.07973042647808432
smoothness error,0.0,0.09860575669183246,0.0,0.032868585563944154,0.04648319948055034,0.0,0.09860575669183246
mean perimeter,0.05875260162664065,0.0,0.0,0.01958420054221355,0.02769624201503292,0.0,0.05875260162664065
worst compactness,0.0,0.029334447354878668,0.0,0.00977814911829289,0.013828391097996325,0.0,0.029334447354878668
mean smoothness,0.0,0.02579777104455697,0.0,0.008599257014852323,0.012161185896736131,0.0,0.02579777104455697
worst concavity,0.0,0.017880648469653166,0.0,0.005960216156551055,0.008429018523269745,0.0,0.017880648469653166
mean concave points,0.0,0.0,0.0057175667656283015,0.0019058555885427672,0.002695286821241738,0.0,0.0057175667656283015
concavity error,0.0,0.0,0.005561350638089159,0.0018537835460297198,0.0026216458324993183,0.0,0.005561350638089159
mean texture,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean fractal dimension,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean compactness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean concavity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst fractal dimension,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radius error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
texture error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perimeter error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst symmetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compactness error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concave points error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symmetry error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst smoothness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean radius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
