,split_0,split_1,split_2,mean,std,min,max
worst radius,0.0021973443332173716,0.22919547259296755,0.4201294755320098,0.2171740974860649,0.17083169430111966,0.0021973443332173716,0.4201294755320098
worst concave points,0.05773211035958517,0.2674759153763301,0.06783309806434232,0.13101370793341918,0.09658142690081756,0.05773211035958517,0.2674759153763301
worst area,0.3015822444769898,0.0037722776273652722,0.006617533123117461,0.10399068507582417,0.1397231599262086,0.0037722776273652722,0.3015822444769898
worst perimeter,0.1845905046195506,0.0,0.00635833627423103,0.06364961363126054,0.08555751065735509,0.0,0.1845905046195506
worst concavity,0.07335460135064624,0.0867653342932775,0.0033849926684726217,0.05450164277079878,0.03655722343374722,0.0033849926684726217,0.0867653342932775
worst texture,0.002934197661537642,0.05412965741788926,0.047128434732224396,0.034730763270550434,0.022664516586796468,0.002934197661537642,0.05412965741788926
radius error,0.019239678573128725,0.0028700268357330443,0.018674682603060253,0.013594796003974008,0.007587064008147348,0.0028700268357330443,0.019239678573128725
mean concave points,0.005634671993841246,0.0007536486853457977,0.02381312939314919,0.010067150024112077,0.009922031335871178,0.0007536486853457977,0.02381312939314919
mean smoothness,0.026262024798531444,0.00038357098887377043,0.0005542807859014383,0.00906662552443555,0.012159183158019112,0.00038357098887377043,0.026262024798531444
symmetry error,0.011970106075591947,0.00026065610334763417,0.013079950213054964,0.008436904130664849,0.005799207552503574,0.00026065610334763417,0.013079950213054964
mean texture,0.008814046397643924,0.0028328915241229114,0.012710002168119225,0.00811898002996202,0.00406215596369286,0.0028328915241229114,0.012710002168119225
mean perimeter,0.019581101786646512,0.0013848887866615158,0.0026288471423869817,0.007864945905231669,0.008300124078426117,0.0013848887866615158,0.019581101786646512
fractal dimension error,0.00593411617208842,0.004456766109410478,0.009126462999427966,0.006505781760308954,0.0019487805451489225,0.0019487805451489225,0.009126462999427966
compactness error,0.0029442295339421505,0.005214157491374874,0.00727444318865589,0.005144276737990971,0.0017684927789198455,0.0017684927789198455,0.00727444318865589
worst smoothness,0.010403701610010927,0.001729006535052694,0.0026415717626544414,0.004924759969239354,0.00389206842616215,0.001729006535052694,0.010403701610010927
area error,0.0016885724391813017,0.0002165263124983144,0.010760780897805777,0.004221959883161798,0.004662536158639622,0.0002165263124983144,0.010760780897805777
texture error,0.0028411098548529793,0.004644501909039225,0.004673845682010607,0.004053152481967604,0.0008571272802060922,0.0008571272802060922,0.004673845682010607
smoothness error,0.006315086944373643,0.00278234586823964,0.0010393848187621882,0.0033789392104584906,0.002194721081979849,0.0010393848187621882,0.006315086944373643
concavity error,0.0022436003967762487,0.004899031502817973,0.0029105250218144944,0.003351052307136239,0.001127941135156796,0.001127941135156796,0.004899031502817973
mean fractal dimension,0.0008127182681985418,0.0039459273161362406,0.0041375170254633695,0.002965387536599384,0.0015241752717492995,0.0008127182681985418,0.0041375170254633695
perimeter error,0.0037387870071242976,0.0007500927807539249,0.0042404409377623355,0.002909773575213519,0.001540796334583596,0.0007500927807539249,0.0042404409377623355
mean concavity,0.004167915772969602,0.0017994104902496286,0.0023016940298698227,0.002756340097696351,0.0010189804066846094,0.0010189804066846094,0.004167915772969602
mean radius,0.0017315088079686359,0.0036924972552578633,0.002713707352318178,0.0027125711385148923,0.0008005705843695936,0.0008005705843695936,0.0036924972552578633
mean area,0.0015809292791555186,0.0034875311921093444,0.0030171160915024946,0.002695192187589119,0.0008109701858691305,0.0008109701858691305,0.0034875311921093444
worst symmetry,0.0014719754901640408,0.0056244004216511965,0.0,0.0023654586372717458,0.0023814847086627363,0.0,0.0056244004216511965
concave points error,0.0013288109429387186,0.0018688187574878007,0.003650267810905941,0.002282632503777487,0.0009918742729203049,0.0009918742729203049,0.003650267810905941
worst compactness,0.002041641319161109,0.0016284540274181893,0.001407646422091084,0.001692580589556794,0.0002627692832841453,0.0002627692832841453,0.002041641319161109
mean compactness,0.0029752953975277835,0.0006770730585567007,0.0010636608704683666,0.001572009775517617,0.0010047455521291638,0.0006770730585567007,0.0029752953975277835
mean symmetry,0.00211674982899933,0.0003846141369596418,0.0018947198510973564,0.0014653612723521095,0.0007695605264331308,0.0003846141369596418,0.00211674982899933
worst fractal dimension,0.00236696303399119,0.0005331000162640937,0.001020004312388518,0.0013066891208812672,0.0007756307224928525,0.0005331000162640937,0.00236696303399119
