,split_0,split_1,split_2,mean,std,min,max
worst radius,0.0013540749100001664,0.1312855434173104,0.14451148637241595,0.09238370156657551,0.06459373596404709,0.0013540749100001664,0.14451148637241595
worst area,0.14900702973243493,0.002637134375882715,0.0027235241063013156,0.05145589607153966,0.068979077140298,0.002637134375882715,0.14900702973243493
worst concave points,0.03900636992119073,0.06837198855171576,0.0308173103925682,0.046065222955158226,0.016123668265950998,0.016123668265950998,0.06837198855171576
worst concavity,0.06392766503828155,0.07128538692425673,0.0027586656740039564,0.045990572545514086,0.030716796129023966,0.0027586656740039564,0.07128538692425673
worst perimeter,0.06124347807010524,0.0006769561072649569,0.012280373689132831,0.024733602622167675,0.026247388172447882,0.0006769561072649569,0.06124347807010524
worst texture,0.002941651242688991,0.006742840071504949,0.03713231559448413,0.015605602302892688,0.015300583822888665,0.002941651242688991,0.03713231559448413
mean perimeter,0.019879608910364607,0.0007063032713585093,0.003362384711199388,0.007982765630974168,0.008481935791808766,0.0007063032713585093,0.019879608910364607
texture error,0.0023700577073251846,0.00804927884692149,0.002319452873201409,0.004246263142482694,0.0026892175502012047,0.002319452873201409,0.00804927884692149
mean concave points,0.0034284615660468082,0.0003732740086206778,0.008245139238706272,0.004015624937791252,0.0032403843567285202,0.0003732740086206778,0.008245139238706272
fractal dimension error,0.003330278581544662,0.0018163610890113016,0.003392968621986014,0.0028465360975139923,0.0007288931889745685,0.0007288931889745685,0.003392968621986014
radius error,0.0035354827998406364,0.00028242775712358033,0.0041251820358920764,0.002647697530952098,0.0016897360986240853,0.00028242775712358033,0.0041251820358920764
mean symmetry,0.004996037729984172,0.0005143490254248642,0.0016571645073451607,0.002389183754251399,0.0019014507697237399,0.0005143490254248642,0.004996037729984172
mean smoothness,0.0037577905425114646,0.0002778196481692266,0.0021155759677791586,0.0020503953861532834,0.0014214395842555988,0.0002778196481692266,0.0037577905425114646
mean radius,0.001652410295267568,0.0007525822024491614,0.0036573728311076283,0.0020207884429414525,0.0012141468867338484,0.0007525822024491614,0.0036573728311076283
worst compactness,0.0021703700291925395,0.0008414493976910707,0.0029069064724818396,0.0019729086331218165,0.0008547013061705472,0.0008414493976910707,0.0029069064724818396
compactness error,0.0028135063486016926,0.0004120123301043047,0.00230426827160913,0.001843262316771709,0.0010331789932102294,0.0004120123301043047,0.0028135063486016926
symmetry error,0.002921387414392858,0.00031173557644263196,0.002153985835155378,0.0017957029419969558,0.0010950938019112717,0.00031173557644263196,0.002921387414392858
mean concavity,0.0014469960070102414,0.0003243803877874018,0.0030610505663114748,0.0016108089870363728,0.0011232295508412419,0.0003243803877874018,0.0030610505663114748
worst symmetry,0.0027129715747196983,0.00020369248328736905,0.0015507701915445681,0.0014891447498505451,0.0010253352820656118,0.00020369248328736905,0.0027129715747196983
concavity error,0.0010511477474705831,0.00017452845821231203,0.003232416411135163,0.0014860308722726859,0.0012856936344080075,0.00017452845821231203,0.003232416411135163
mean area,0.0014633539603080452,0.0006637675568200826,0.0022411898238614684,0.0014561037803298652,0.0006440003498817804,0.0006440003498817804,0.0022411898238614684
area error,0.0017430928632417182,0.001436237173084251,0.0011226940415677757,0.0014340080259645817,0.0002532816631160718,0.0002532816631160718,0.0017430928632417182
mean compactness,0.0010848554340684928,0.00015195699899033706,0.002608525272247754,0.0012817792351021947,0.0010125104634369306,0.00015195699899033706,0.002608525272247754
mean texture,0.0006286595800579447,0.0001558599332553929,0.003053129195330222,0.0012792162362145199,0.0012691099942855294,0.0001558599332553929,0.003053129195330222
worst fractal dimension,0.0001644150256328885,0.00015033644335261812,0.0033945829325742307,0.0012364448005199125,0.0015260449314900993,0.00015033644335261812,0.0033945829325742307
smoothness error,0.00025501471125113825,0.0008665194045419214,0.002528225602018064,0.001216586572603708,0.0009604798124171895,0.00025501471125113825,0.002528225602018064
worst smoothness,0.0013512983584177214,0.0004454271507785536,0.0013882516690376246,0.0010616590594112998,0.00043600283692067166,0.00043600283692067166,0.0013882516690376246
perimeter error,0.001643461538041005,0.0001172970958864167,0.0011442565125742274,0.0009683383821672163,0.0006353502276060976,0.0001172970958864167,0.001643461538041005
concave points error,0.0006675415407326454,2.113004582111553e-05,0.0021580988284266075,0.0009489234716601228,0.0008948149669985619,2.113004582111553e-05,0.0021580988284266075
mean fractal dimension,0.0011715734190552091,0.00013107499065842225,0.0014668037668110487,0.0009231507255082266,0.0005729038411824459,0.00013107499065842225,0.0014668037668110487
