,split_0,split_1,split_2,mean,std,min,max
worst texture,0.16261582753521117,,0.17925053707421895,0.17093318230471505,0.00831735476950389,0.00831735476950389,0.17925053707421895
worst symmetry,0.06982978809082728,,0.1655858520664149,0.1177078200786211,0.047878031987793813,0.047878031987793813,0.1655858520664149
worst radius,0.06792348936413985,,0.1412648827219692,0.10459418604305451,0.03667069667891467,0.03667069667891467,0.1412648827219692
fractal dimension error,0.0894079419882408,,0.11969877698575895,0.10455335948699987,0.015145417498759077,0.015145417498759077,0.11969877698575895
worst area,0.0981691783888474,,0.10904138257308667,0.10360528048096704,0.0054361020921196365,0.0054361020921196365,0.10904138257308667
mean texture,0.006811530165434782,,0.19406793077767998,0.10043973047155738,0.0936282003061226,0.006811530165434782,0.19406793077767998
radius error,0.0,,0.18673513520798798,0.09336756760399399,0.09336756760399399,0.0,0.18673513520798798
worst concavity,0.0,,0.17568022235106015,0.08784011117553008,0.08784011117553008,0.0,0.17568022235106015
worst compactness,0.0,,0.17042941122500027,0.08521470561250014,0.08521470561250014,0.0,0.17042941122500027
mean perimeter,0.05081186916215226,,0.1143526768485392,0.08258227300534574,0.03177040384319347,0.03177040384319347,0.1143526768485392
mean smoothness,0.16461732165716295,,0.0,0.08230866082858147,0.08230866082858147,0.0,0.16461732165716295
worst concave points,0.054918514872322154,,0.08135785832207006,0.0681381865971961,0.013219671724873951,0.013219671724873951,0.08135785832207006
compactness error,0.0,,0.10872777182836081,0.054363885914180406,0.054363885914180406,0.0,0.10872777182836081
mean symmetry,0.028802462988539525,,0.05652613048937667,0.0426642967389581,0.013861833750418573,0.013861833750418573,0.05652613048937667
perimeter error,0.07594697426456014,,0.0,0.03797348713228007,0.03797348713228007,0.0,0.07594697426456014
worst perimeter,0.0748540567500968,,0.0,0.0374270283750484,0.0374270283750484,0.0,0.0748540567500968
smoothness error,0.06791264080653941,,0.0,0.03395632040326971,0.03395632040326971,0.0,0.06791264080653941
mean compactness,0.05795898162652988,,0.0,0.02897949081326494,0.02897949081326494,0.0,0.05795898162652988
area error,0.05189389127620791,,0.0,0.025946945638103954,0.025946945638103954,0.0,0.05189389127620791
mean area,0.04972957636515581,,0.0,0.024864788182577906,0.024864788182577906,0.0,0.04972957636515581
worst fractal dimension,0.0,,0.04903705152058665,0.024518525760293324,0.024518525760293324,0.0,0.04903705152058665
mean concavity,0.004129005471180287,,0.009049831412598195,0.006589418441889241,0.0024604129707089537,0.0024604129707089537,0.009049831412598195
mean concave points,0.0,,0.008209922407854411,0.004104961203927206,0.004104961203927206,0.0,0.008209922407854411
concave points error,0.0055833007961604226,,0.0,0.0027916503980802113,0.0027916503980802113,0.0,0.0055833007961604226
concavity error,0.0,,0.0002044962159755831,0.00010224810798779155,0.00010224810798779155,0.0,0.0002044962159755831
mean fractal dimension,0.0,,0.0,0.0,0.0,0.0,0.0
texture error,0.0,,0.0,0.0,0.0,0.0,0.0
symmetry error,0.0,,0.0,0.0,0.0,0.0,0.0
worst smoothness,0.0,,0.0,0.0,0.0,0.0,0.0
mean radius,0.0,,0.0,0.0,0.0,0.0,0.0
