,split_0,split_1,split_2,mean,std,min,max
fractal dimension error,0.10119112377177224,0.06742804630302711,0.12977398705461343,0.09946438570980426,0.02548189292158996,0.02548189292158996,0.12977398705461343
worst smoothness,0.03271390717801689,0.1615585938668864,0.0,0.06475750034830109,0.0697394613807152,0.0,0.1615585938668864
mean symmetry,0.0750898238161929,0.05913352703596826,0.0,0.04474111695072039,0.03230042838965846,0.0,0.0750898238161929
perimeter error,0.0,0.09069558079854909,0.04246171446994742,0.04438576508949884,0.03705130292073846,0.0,0.09069558079854909
worst fractal dimension,0.004637694048328031,0.08732773933255886,0.04071296131718932,0.0442261315660254,0.03384934929138241,0.004637694048328031,0.08732773933255886
worst area,0.018848697397729493,0.0,0.108025573998217,0.04229142379864883,0.04711370802107269,0.0,0.108025573998217
worst concave points,0.008667004887346067,0.09017956984204852,0.007819311592031815,0.03555529544047547,0.038626745150689666,0.007819311592031815,0.09017956984204852
worst symmetry,0.01429900939892447,0.0922764035941005,0.0,0.035525137664341656,0.040551572562358064,0.0,0.0922764035941005
compactness error,0.005319139968293431,0.0,0.10043621528816019,0.03525178508548454,0.04614347745988371,0.0,0.10043621528816019
radius error,0.025717290396044142,0.06405885408009267,0.01265552254033965,0.03414388900549215,0.021814846572002368,0.01265552254033965,0.06405885408009267
mean concave points,0.03268131473934032,0.0,0.047859627916564694,0.02684698088530167,0.019969403007572873,0.0,0.047859627916564694
worst texture,0.01749762374887957,0.0,0.05725563059512682,0.024917751448002127,0.023956147854150366,0.0,0.05725563059512682
mean compactness,0.0,0.0,0.0709183052366459,0.023639435078881967,0.03343120969539317,0.0,0.0709183052366459
mean concavity,0.0,0.0,0.06635165503280872,0.022117218344269576,0.03127847014443304,0.0,0.06635165503280872
symmetry error,0.05555324989505997,0.0,0.0029129038216561603,0.019488717905572044,0.0255291872554292,0.0,0.05555324989505997
mean texture,0.014517950455788351,0.0,0.02089054970259025,0.011802833386126201,0.008741954863209049,0.0,0.02089054970259025
mean radius,0.0,0.002520175962323717,0.023082377509794125,0.008534184490705947,0.010338448039905959,0.0,0.023082377509794125
worst radius,0.0,0.0,0.022238120701872022,0.0074127069006240075,0.010483150632759102,0.0,0.022238120701872022
smoothness error,0.018251090353852334,0.0,0.0,0.006083696784617444,0.008603646502171582,0.0,0.018251090353852334
mean area,0.008939572367018565,0.006900883971968694,0.0,0.005280152112995752,0.00382527274367967,0.0,0.008939572367018565
worst concavity,0.014540528770614918,0.0,0.0,0.004846842923538306,0.006854470997159933,0.0,0.014540528770614918
worst perimeter,0.0,0.0,0.013861620713539946,0.004620540237846649,0.006534430669853337,0.0,0.013861620713539946
mean perimeter,0.0,0.0,0.012959163420930632,0.004319721140310211,0.00610900822229647,0.0,0.012959163420930632
mean smoothness,0.007390820326141234,0.0,0.003583323994562325,0.0036580481069011864,0.0030177523692365513,0.0,0.007390820326141234
mean fractal dimension,0.0,0.0,0.005564260084085887,0.0018547533613619625,0.0026230173584951733,0.0,0.005564260084085887
area error,0.0,0.0,0.002981308183630667,0.0009937693945435556,0.0014054021556347957,0.0,0.002981308183630667
texture error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concavity error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concave points error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst compactness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
