,split_0,split_1,split_2,mean,std,min,max
worst area,0.037202087106292775,0.05605602649808043,0.05912920071469943,0.050795771439690884,0.009693719281351808,0.009693719281351808,0.05912920071469943
worst radius,0.04385448655553182,0.04458367651224975,0.04960149078462518,0.046013217950802245,0.0025546957999871937,0.0025546957999871937,0.04960149078462518
worst texture,0.0446755963335118,0.05050812242407099,0.042078125115673014,0.04575394795775193,0.0035249912835849944,0.0035249912835849944,0.05050812242407099
radius error,0.051503678125685126,0.04631616991888209,0.03522900194401629,0.04434961666286117,0.006788066488876863,0.006788066488876863,0.051503678125685126
worst concavity,0.056039925184488304,0.0388562007187727,0.036568844411830406,0.04382165677169714,0.008689939085861877,0.008689939085861877,0.056039925184488304
worst concave points,0.045912217048351224,0.045984232010906644,0.03893627447765775,0.043610907845638536,0.003305595698457142,0.003305595698457142,0.045984232010906644
worst perimeter,0.04521488147649561,0.03311758384008173,0.0438371252431475,0.04072319685324161,0.005407313876537505,0.005407313876537505,0.04521488147649561
mean concave points,0.04483111182465178,0.026557035478306703,0.041758468019368965,0.03771553844077582,0.007989343997313323,0.007989343997313323,0.04483111182465178
mean concavity,0.040080187497719084,0.028981859025340173,0.032092644651769184,0.033718230391609476,0.004674406947651805,0.004674406947651805,0.040080187497719084
area error,0.03248144209087622,0.034422706543186146,0.032581089753040846,0.03316174612903441,0.0008925612168312854,0.0008925612168312854,0.034422706543186146
worst smoothness,0.021606604791310605,0.032901453032799725,0.03659151026743472,0.030366522697181684,0.006374754995915324,0.006374754995915324,0.03659151026743472
worst symmetry,0.015707577781683232,0.01913513790314985,0.04570429400090914,0.026849003228580737,0.013405932385287653,0.013405932385287653,0.04570429400090914
mean perimeter,0.025048750759357016,0.03023611316706169,0.021045380293364252,0.025443414739927655,0.0037624648332430146,0.0037624648332430146,0.03023611316706169
perimeter error,0.02880289314565091,0.018249588137796438,0.021677464787914352,0.022909982023787235,0.0043956331132723354,0.0043956331132723354,0.02880289314565091
mean texture,0.023394007241743477,0.023203144132484806,0.015017184692260583,0.020538112022162956,0.0039046626929152427,0.0039046626929152427,0.023394007241743477
mean radius,0.01926046157982436,0.02480737931085572,0.017384279473382485,0.02048404012135419,0.0031515563493553457,0.0031515563493553457,0.02480737931085572
mean area,0.015606536545073917,0.02170157967627956,0.021484566008089748,0.01959756074314774,0.0028234706001956066,0.0028234706001956066,0.02170157967627956
worst fractal dimension,0.013612758372877733,0.02019145725048352,0.009028911431417711,0.014277709018259652,0.004581282703296189,0.004581282703296189,0.02019145725048352
fractal dimension error,0.010507432930674588,0.014694943698526296,0.016503575505834336,0.013901984045011742,0.0025113104420451202,0.0025113104420451202,0.016503575505834336
symmetry error,0.009000386585444444,0.016627913522318787,0.010357538918816387,0.01199527967552654,0.0033222921688525107,0.0033222921688525107,0.016627913522318787
mean smoothness,0.009426414101480953,0.01209519711527414,0.013929575144638297,0.011817062120464463,0.0018488977169574703,0.0018488977169574703,0.013929575144638297
concave points error,0.009324007581640566,0.01001665509945469,0.015838260630657613,0.011726307770584291,0.0029213076282813724,0.0029213076282813724,0.015838260630657613
mean symmetry,0.013254257856871777,0.005049835514745124,0.015901729434337708,0.011401940935318202,0.0046198274783031965,0.0046198274783031965,0.015901729434337708
smoothness error,0.011154747517740168,0.01004402691031772,0.011778046587710221,0.010992273671922704,0.0007171723983009649,0.0007171723983009649,0.011778046587710221
mean fractal dimension,0.008971304613056522,0.009645616173558408,0.013817222959687575,0.010811381248767502,0.0021432043476201403,0.0021432043476201403,0.013817222959687575
worst compactness,0.002747269567028932,0.009089884104456627,0.01952580684260429,0.010454320171363283,0.006917422092681383,0.002747269567028932,0.01952580684260429
compactness error,0.006680921789894962,0.009910823389718174,0.013234107661328058,0.009941950946980397,0.002675417470228204,0.002675417470228204,0.013234107661328058
concavity error,0.009767243970839905,0.008095713644669466,0.00796877650653,0.008610578040679792,0.0008195264139548855,0.0008195264139548855,0.009767243970839905
texture error,0.010179654690374445,0.005792160847454939,0.007645437400974493,0.00787241764626796,0.0017983632520024526,0.0017983632520024526,0.010179654690374445
mean compactness,0.006218805784189832,0.005638233218295585,0.003756942022536549,0.005204660341673988,0.0010507718987302801,0.0010507718987302801,0.006218805784189832
