,split_0,split_1,split_2,mean,std,min,max
worst radius,0.020150705540785005,0.021576148519663614,0.021409888798771197,0.02104558095307327,0.0006364024284137504,0.0006364024284137504,0.021576148519663614
worst area,0.013698630761922721,0.02134190532377973,0.02248925362507964,0.019176596570260697,0.003901724753585599,0.003901724753585599,0.02248925362507964
worst concave points,0.019217613870978326,0.019488912995574256,0.01745594749496628,0.018720824787172952,0.000901234977500946,0.000901234977500946,0.019488912995574256
worst perimeter,0.015724618284669725,0.01634522897519064,0.017594280580292738,0.016554709280051035,0.0007775263226034566,0.0007775263226034566,0.017594280580292738
worst texture,0.015481308853961933,0.015052372640907419,0.01567709073408727,0.015403590742985543,0.0002608936597758709,0.0002608936597758709,0.01567709073408727
radius error,0.015398965624848231,0.017845183768791247,0.011601362698270124,0.014948504030636535,0.002568853457097893,0.002568853457097893,0.017845183768791247
area error,0.015860301218588196,0.019394312865927292,0.00858006953696157,0.01461156120715902,0.004502331130027941,0.004502331130027941,0.019394312865927292
mean concave points,0.012618993652471957,0.014250898818834746,0.015101868189015486,0.013990586886774063,0.0010302065221866718,0.0010302065221866718,0.015101868189015486
worst concavity,0.012686204466388818,0.012420989019180392,0.012346600265358146,0.012484597916975785,0.00014575624000016555,0.00014575624000016555,0.012686204466388818
mean area,0.013776605256999478,0.012687585937195423,0.009028904608400213,0.011831031934198372,0.002030669664948844,0.002030669664948844,0.013776605256999478
mean concavity,0.008443863800711717,0.011397871222429438,0.014356675158377838,0.011399470060506331,0.0024138953933492044,0.0024138953933492044,0.014356675158377838
mean radius,0.006635308542107023,0.011150920324110044,0.015531905392280086,0.011106044752832384,0.003632159067854861,0.003632159067854861,0.015531905392280086
perimeter error,0.011544974971737147,0.01211558404514953,0.009079680452025606,0.010913413156304093,0.0013174041145931667,0.0013174041145931667,0.01211558404514953
mean perimeter,0.007352881253098635,0.012216608274292287,0.008870247022402805,0.009479912183264575,0.002031867587622903,0.002031867587622903,0.012216608274292287
worst symmetry,0.006095551862763199,0.012797633623015434,0.009149601471443667,0.009347595652407434,0.0027396929574982254,0.0027396929574982254,0.012797633623015434
worst smoothness,0.006164787806805699,0.00822323970096753,0.01165940849652064,0.008682478668097958,0.002266552367607264,0.002266552367607264,0.01165940849652064
mean texture,0.00887560791792878,0.00763521851222389,0.008807107102220577,0.00843931117745775,0.0005692666927140218,0.0005692666927140218,0.00887560791792878
texture error,0.007477998647090926,0.005897553403529051,0.006853145071306548,0.006742899040642175,0.0006499063688626106,0.0006499063688626106,0.007477998647090926
mean smoothness,0.004618197469920785,0.007318868855802212,0.007350820175443672,0.006429295500388889,0.0012807061278010642,0.0012807061278010642,0.007350820175443672
worst fractal dimension,0.004765094806232763,0.0054971036970966995,0.008326865950750434,0.006196354818026631,0.001535853187226567,0.001535853187226567,0.008326865950750434
concave points error,0.006401248846666509,0.006428263571502494,0.004275382174440896,0.005701631530869966,0.001008570892856238,0.001008570892856238,0.006428263571502494
worst compactness,0.005256375443586681,0.006033494505397132,0.00495175577754417,0.005413875242175994,0.00045544433157887444,0.00045544433157887444,0.006033494505397132
compactness error,0.005741968267389066,0.004018507935161298,0.0052442767712879415,0.005001584324612768,0.0007242253778788054,0.0007242253778788054,0.005741968267389066
fractal dimension error,0.005948976275849268,0.005618156786580348,0.0034293463273096,0.004998826463246405,0.0011179777297857043,0.0011179777297857043,0.005948976275849268
concavity error,0.006620948990936778,0.004690967864314539,0.0034704393630281914,0.004927452072759836,0.0012970148584394792,0.0012970148584394792,0.006620948990936778
mean fractal dimension,0.0032391810023671866,0.005306893089605471,0.006067103280613977,0.004871059124195545,0.001194919672894329,0.001194919672894329,0.006067103280613977
symmetry error,0.0025920293963677087,0.005184183537991803,0.006172641636565255,0.004649618190308256,0.0015098600568421666,0.0015098600568421666,0.006172641636565255
mean compactness,0.003976909340970511,0.0049256489316443185,0.004825905369177041,0.004576154547263956,0.0004256824383760517,0.0004256824383760517,0.0049256489316443185
smoothness error,0.0018976720286650337,0.0057694644597750065,0.005201283427721226,0.004289473305387088,0.0017070915679000868,0.0017070915679000868,0.0057694644597750065
mean symmetry,0.0023723961750134583,0.0033931980692533635,0.004159090048548358,0.0033082280976050597,0.0007318850872886268,0.0007318850872886268,0.004159090048548358
