,split_0,split_1,split_2,mean,std,min,max
worst area,0.12574576862654036,,0.17102528601130187,0.14838552731892113,0.02263975869238076,0.02263975869238076,0.17102528601130187
radius error,0.10906400995400933,,0.15936967006509595,0.13421684000955264,0.025152830055543307,0.025152830055543307,0.15936967006509595
worst texture,0.21892414103944727,,0.0,0.10946207051972363,0.10946207051972363,0.0,0.21892414103944727
worst radius,0.0888196535940116,,0.07298053220782996,0.08090009290092079,0.00791956069309082,0.00791956069309082,0.0888196535940116
fractal dimension error,0.0,,0.1384692927870777,0.06923464639353885,0.06923464639353885,0.0,0.1384692927870777
worst concave points,0.057455232891539046,,0.06010884097029678,0.05878203693091791,0.0013268040393788656,0.0013268040393788656,0.06010884097029678
texture error,0.0,,0.06564859684652713,0.032824298423263565,0.032824298423263565,0.0,0.06564859684652713
worst perimeter,0.030270751749383075,,0.030026468214241993,0.030148609981812534,0.00012214176757054107,0.00012214176757054107,0.030270751749383075
worst symmetry,0.04669275954833187,,0.0,0.023346379774165937,0.023346379774165937,0.0,0.04669275954833187
symmetry error,0.03330337181979506,,0.0,0.01665168590989753,0.01665168590989753,0.0,0.03330337181979506
mean area,0.0,,0.0,0.0,0.0,0.0,0.0
mean perimeter,0.0,,0.0,0.0,0.0,0.0,0.0
mean texture,0.0,,0.0,0.0,0.0,0.0,0.0
mean fractal dimension,0.0,,0.0,0.0,0.0,0.0,0.0
mean smoothness,0.0,,0.0,0.0,0.0,0.0,0.0
mean compactness,0.0,,0.0,0.0,0.0,0.0,0.0
mean concavity,0.0,,0.0,0.0,0.0,0.0,0.0
mean concave points,0.0,,0.0,0.0,0.0,0.0,0.0
mean symmetry,0.0,,0.0,0.0,0.0,0.0,0.0
worst fractal dimension,0.0,,0.0,0.0,0.0,0.0,0.0
smoothness error,0.0,,0.0,0.0,0.0,0.0,0.0
perimeter error,0.0,,0.0,0.0,0.0,0.0,0.0
area error,0.0,,0.0,0.0,0.0,0.0,0.0
compactness error,0.0,,0.0,0.0,0.0,0.0,0.0
concavity error,0.0,,0.0,0.0,0.0,0.0,0.0
concave points error,0.0,,0.0,0.0,0.0,0.0,0.0
worst smoothness,0.0,,0.0,0.0,0.0,0.0,0.0
worst compactness,0.0,,0.0,0.0,0.0,0.0,0.0
worst concavity,0.0,,0.0,0.0,0.0,0.0,0.0
mean radius,0.0,,0.0,0.0,0.0,0.0,0.0
