,split_0,split_1,split_2,mean,std,min,max
radius error,0.1156344245096318,0.09802256050104761,0.0337988947975675,0.08248529326941564,0.035169290444779594,0.0337988947975675,0.1156344245096318
compactness error,0.02924458582353322,0.0,0.20892982013155398,0.07939146865169573,0.09237225351113097,0.0,0.20892982013155398
worst concave points,0.02336894615915598,0.12060993527778627,0.02308394534598849,0.05568760892764358,0.04590716465797541,0.02308394534598849,0.12060993527778627
worst texture,0.07464075491761095,0.0,0.08051515922561944,0.05171863804774346,0.036649150036789035,0.0,0.08051515922561944
worst concavity,0.01774721626390254,0.0,0.08807896098469507,0.0352753924161992,0.03803422635342467,0.0,0.08807896098469507
area error,0.03134298184426041,0.0,0.056548667646926794,0.029297216497062403,0.023131174059444735,0.0,0.056548667646926794
worst area,0.0,0.02952549373517214,0.04209423641993499,0.02387324338503571,0.017643547176608383,0.0,0.04209423641993499
symmetry error,0.0,0.0,0.07099639665364098,0.023665465551213658,0.03346802234239963,0.0,0.07099639665364098
texture error,0.0,0.0,0.0678008268631392,0.022600275621046398,0.03196161629665384,0.0,0.0678008268631392
fractal dimension error,0.037912891202364934,0.0,0.0,0.012637630400788311,0.017872308309053363,0.0,0.037912891202364934
worst symmetry,0.02460397789345158,0.012315983267468224,0.0,0.012306653720306602,0.010044534079976073,0.0,0.02460397789345158
mean fractal dimension,0.0,0.0,0.034894183541099084,0.011631394513699695,0.016449275870586116,0.0,0.034894183541099084
worst compactness,0.027157894808634207,0.0021443246828216477,0.0,0.00976740649715195,0.012328053235613758,0.0,0.027157894808634207
mean concave points,0.013316472912803698,0.0019612493148837905,0.013235810583628374,0.009504510937105288,0.0053339930964082785,0.0019612493148837905,0.013316472912803698
worst smoothness,0.01663614163614161,0.008432815560667937,0.0,0.008356319065603184,0.006791891779652118,0.0,0.01663614163614161
mean perimeter,0.0225927076395243,0.0,0.0,0.007530902546508101,0.010650304518181834,0.0,0.0225927076395243
worst perimeter,0.0,0.0,0.02084310151257746,0.006947700504192487,0.009825532280335406,0.0,0.02084310151257746
concave points error,0.01833011643481702,0.0,0.0,0.006110038811605673,0.00864089975399873,0.0,0.01833011643481702
worst radius,0.0,0.0,0.014416553445484136,0.004805517815161379,0.006796028468426745,0.0,0.014416553445484136
mean texture,0.0,0.012007880575132109,0.0,0.00400262685837737,0.00566056918823609,0.0,0.012007880575132109
mean radius,0.0011382623224727917,0.0,0.0,0.00037942077415759724,0.0005365820046597731,0.0,0.0011382623224727917
mean area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean compactness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean smoothness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst fractal dimension,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean concavity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean symmetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perimeter error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concavity error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoothness error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
