,split_0,split_1,split_2,mean,std,min,max
worst area,0.15509525134334484,0.3071238749663218,0.17379811160663472,0.21200574597210045,0.06769068420902065,0.06769068420902065,0.3071238749663218
worst concave points,0.09564367264098689,0.13898211840369476,0.0821061904774634,0.10557732717404834,0.02425868797845596,0.02425868797845596,0.13898211840369476
radius error,0.10523803678629201,0.10875737919417591,0.08354909777851834,0.09918150458632875,0.011146764843057698,0.011146764843057698,0.10875737919417591
worst texture,0.07590198904934146,0.017456621865299737,0.04582286447067134,0.04639382512843752,0.023863636679739363,0.017456621865299737,0.07590198904934146
worst concavity,0.04630270820321989,0.015009792297667137,0.05659624484134951,0.039302915114078844,0.017684382681904705,0.015009792297667137,0.05659624484134951
mean concave points,0.03750706940280424,0.008406519368947296,0.05225054883247814,0.03272137920140989,0.018216326979343406,0.008406519368947296,0.05225054883247814
worst radius,0.04986086469656761,0.004650343215829364,0.015203940051854728,0.023238382654750565,0.019311689276955108,0.004650343215829364,0.04986086469656761
worst perimeter,0.006642155565034376,0.0020824217315294044,0.04969216933500709,0.01947224887719029,0.021449638497585972,0.0020824217315294044,0.04969216933500709
worst smoothness,0.007269702107881821,0.022016489123413113,0.014839362459467991,0.014708517896920974,0.006021061481445591,0.006021061481445591,0.022016489123413113
worst symmetry,0.00813264621745168,0.010821220203008637,0.017647959059528113,0.012200608493329476,0.004005190687283345,0.004005190687283345,0.017647959059528113
compactness error,0.008395170725885586,0.0005767053831743374,0.023910220300079377,0.010960698803046435,0.009697067609347442,0.0005767053831743374,0.023910220300079377
mean texture,0.004186979868653487,0.019145172589489327,0.0037983640373997836,0.009043505498514199,0.007144718985784428,0.0037983640373997836,0.019145172589489327
mean fractal dimension,0.01015434808421025,0.0036321069380985727,0.009766013554096306,0.007850822858801709,0.0029872924130406446,0.0029872924130406446,0.01015434808421025
smoothness error,0.010437009149572367,0.007759910354287635,0.005285340759194288,0.007827420087684762,0.002103701495647245,0.002103701495647245,0.010437009149572367
mean perimeter,0.010107510979227347,0.004452278181998167,0.008575525403027081,0.007711771521417531,0.002388160739105978,0.002388160739105978,0.010107510979227347
mean symmetry,0.009045152670872322,0.006123576746211377,0.007209639715844075,0.007459456377642591,0.0012057384305267677,0.0012057384305267677,0.009045152670872322
worst compactness,0.008186206116599523,0.008337239495507631,0.004221294540096513,0.006914913384067889,0.0019056739189123916,0.0019056739189123916,0.008337239495507631
perimeter error,0.0020684038878575495,0.005951432267057189,0.012089905961447702,0.006703247372120813,0.0041256551331794004,0.0020684038878575495,0.012089905961447702
mean smoothness,0.0035559177307678182,0.0030463385801763835,0.011009365530891914,0.005870540613945372,0.0036396482314414533,0.0030463385801763835,0.011009365530891914
mean concavity,0.005606900962320394,0.0026832713179714912,0.00801714708473446,0.005435773121675448,0.002180905198489557,0.002180905198489557,0.00801714708473446
symmetry error,0.0071698909101740125,0.003435030805922948,0.005292161946780239,0.005299027887625734,0.001524757981984756,0.001524757981984756,0.0071698909101740125
worst fractal dimension,0.006393227910199867,0.002181900936047821,0.00724221548424596,0.005272448110164549,0.002212661497202233,0.002181900936047821,0.00724221548424596
area error,0.009593657108206881,0.001005883208499585,0.0032595532327571934,0.00461969784982122,0.003635469724131913,0.001005883208499585,0.009593657108206881
fractal dimension error,0.00639695613730275,0.0034807730820984022,0.00357160369114956,0.004483110970183571,0.0013538008328810732,0.0013538008328810732,0.00639695613730275
mean area,0.004735664418654603,0.002972487387879469,0.00395972350363851,0.0038892917700575277,0.0007215348373593017,0.0007215348373593017,0.004735664418654603
concavity error,0.0066134508265333295,0.0008581337195071079,0.003412297583880388,0.0036279607099736085,0.002354541949590818,0.0008581337195071079,0.0066134508265333295
mean compactness,0.0027953042750338843,0.004142825251770755,0.003697080308934084,0.0035450699452462416,0.0005605256810577342,0.0005605256810577342,0.004142825251770755
texture error,0.0033806675130598363,0.0023681128844227402,0.0044382718404309554,0.0033956840793045104,0.000845205556351665,0.000845205556351665,0.0044382718404309554
concave points error,0.0028377760123094774,0.0016203871607710385,0.005624340449114852,0.0033608345407317892,0.0016759282307478238,0.0016203871607710385,0.005624340449114852
mean radius,0.0015725472117139353,0.004109830463983114,0.004009907369963826,0.0032307616818869588,0.0011732441002047832,0.0011732441002047832,0.004109830463983114
