,split_0,split_1,split_2,mean,std,min,max
worst area,0.05913634004948823,0.14241367504202646,0.08403162025441914,0.09519387844864462,0.03490201175539669,0.03490201175539669,0.14241367504202646
radius error,0.04867547183860222,0.04619847515415342,0.03912651425418198,0.044666820415645875,0.00404599575018385,0.00404599575018385,0.04867547183860222
worst concave points,0.028863374201150396,0.04182913540195659,0.025091470021759727,0.0319279932082889,0.007168508810022073,0.007168508810022073,0.04182913540195659
worst texture,0.02508225336586547,0.0048981534389172885,0.014154436242470153,0.014711614349084303,0.008249537685920141,0.0048981534389172885,0.02508225336586547
worst concavity,0.012310111367686626,0.0037317168990357356,0.017576061851741983,0.011205963372821448,0.005705601276424442,0.0037317168990357356,0.017576061851741983
mean concave points,0.015047028671382492,0.002002859237908218,0.01620422886670522,0.011084705591998643,0.0064391887673574165,0.002002859237908218,0.01620422886670522
worst radius,0.017287783799457057,0.0026773207953064916,0.0049576295765784316,0.008307578057113994,0.0064178409357869975,0.0026773207953064916,0.017287783799457057
worst perimeter,0.0033834523157827657,0.0015668265832635003,0.0163420873076015,0.007097455402215923,0.006578877643011132,0.0015668265832635003,0.0163420873076015
compactness error,0.008217709797831681,0.0024035202835752797,0.00716224402405316,0.00592782470182004,0.002529037132223662,0.0024035202835752797,0.008217709797831681
mean texture,0.0035278782111973447,0.006326067522827196,0.0036861680141052977,0.004513371249376613,0.0012833977690132766,0.0012833977690132766,0.006326067522827196
worst smoothness,0.0035860797279907244,0.005998816572240255,0.0028565456755349585,0.004147147325255313,0.0013427743006168165,0.0013427743006168165,0.005998816572240255
worst fractal dimension,0.005211118447376999,0.0022777199985804532,0.004782977362152321,0.0040906052693699246,0.0012937647779506138,0.0012937647779506138,0.005211118447376999
worst symmetry,0.005052706606551038,0.0029197542706241655,0.004255122547968811,0.004075861141714672,0.0008799516674845024,0.0008799516674845024,0.005052706606551038
fractal dimension error,0.00516318604777126,0.002104766149725896,0.003928120798280365,0.00373202433192584,0.001256270521896061,0.001256270521896061,0.00516318604777126
smoothness error,0.007105667452589219,0.0013020071850584338,0.002712268110896168,0.0037066475828479405,0.002471465290862648,0.0013020071850584338,0.007105667452589219
perimeter error,0.0031965009059400813,0.002829978619419881,0.004479970013549359,0.003502149846303107,0.0007074290806547868,0.0007074290806547868,0.004479970013549359
mean area,0.003952782381878965,0.002608937108446682,0.0035572654383072473,0.0033729949762109647,0.0005638833993728698,0.0005638833993728698,0.003952782381878965
worst compactness,0.004049171284867352,0.0029878164107855353,0.0028980375825239657,0.0033116750927256176,0.0005227749895628605,0.0005227749895628605,0.004049171284867352
area error,0.003316202228125671,0.002954197293377844,0.0036100563958067346,0.0032934853057700834,0.0002682347659305057,0.0002682347659305057,0.0036100563958067346
concavity error,0.0036018530141506315,0.0020211426417449654,0.004228425242178937,0.003283806966024845,0.0009287587006648395,0.0009287587006648395,0.004228425242178937
mean compactness,0.0025495229188453113,0.0030561296684079946,0.004212790894016304,0.0032728144937565367,0.0006960983285233965,0.0006960983285233965,0.004212790894016304
texture error,0.004992142947956541,0.0011461006750886954,0.003380008226179242,0.0031727506164081595,0.0015769648228538334,0.0011461006750886954,0.004992142947956541
mean perimeter,0.0018056384275722387,0.0017721160652280697,0.005424057458762774,0.0030006039838543605,0.0017136950323746892,0.0017136950323746892,0.005424057458762774
mean symmetry,0.0038842675797394395,0.001244279752281467,0.0027593488308731767,0.002629298720964694,0.0010816865552142705,0.0010816865552142705,0.0038842675797394395
mean smoothness,0.0026772271492421615,0.0021017504245160606,0.0029366946905389213,0.002571890754765714,0.00034890762754831125,0.00034890762754831125,0.0029366946905389213
mean concavity,0.0026527616269907787,0.001790540948641338,0.0032661745170377596,0.0025698256975566253,0.0006052726015815349,0.0006052726015815349,0.0032661745170377596
mean fractal dimension,0.004071973174265736,0.0020681588629686562,0.0015339249628245975,0.0025580190000196634,0.001092518312982629,0.001092518312982629,0.004071973174265736
mean radius,0.0034471745607921743,0.0012975976927224156,0.002697765755121563,0.0024808460028787178,0.000890865052302151,0.000890865052302151,0.0034471745607921743
concave points error,0.004740623565113418,0.000993215876698548,0.0016195579360679402,0.002451132459293302,0.001638984083013181,0.000993215876698548,0.004740623565113418
symmetry error,0.0028715706964935095,0.0019197205550972494,0.0012123076661659567,0.0020011996392522388,0.0006798370303825249,0.0006798370303825249,0.0028715706964935095
