,split_0,split_1,split_2,mean,std,min,max
worst texture,0.3877338737048355,,0.07750962161472176,0.2326217476597786,0.15511212604505686,0.07750962161472176,0.3877338737048355
worst fractal dimension,0.0494024334085917,,0.1784384422470976,0.11392043782784464,0.06451800441925296,0.0494024334085917,0.1784384422470976
compactness error,0.0,,0.22479063425074727,0.11239531712537364,0.11239531712537364,0.0,0.22479063425074727
mean texture,0.0,,0.19890575181124873,0.09945287590562436,0.09945287590562436,0.0,0.19890575181124873
worst concavity,0.043943641567390924,,0.10691553215521593,0.07542958686130342,0.03148594529391251,0.03148594529391251,0.10691553215521593
mean concavity,0.0,,0.14872048193846507,0.07436024096923254,0.07436024096923254,0.0,0.14872048193846507
mean perimeter,0.0,,0.11739943120643104,0.05869971560321552,0.05869971560321552,0.0,0.11739943120643104
worst perimeter,0.09676141746349406,,0.0,0.04838070873174703,0.04838070873174703,0.0,0.09676141746349406
mean concave points,0.05853416586025275,,0.0,0.029267082930126375,0.029267082930126375,0.0,0.05853416586025275
mean smoothness,0.0,,0.0508835214420514,0.0254417607210257,0.0254417607210257,0.0,0.0508835214420514
worst concave points,0.04312828936679159,,0.0,0.021564144683395795,0.021564144683395795,0.0,0.04312828936679159
smoothness error,0.0,,0.03736159581083875,0.018680797905419374,0.018680797905419374,0.0,0.03736159581083875
worst area,0.031864930383733565,,0.0,0.015932465191866783,0.015932465191866783,0.0,0.031864930383733565
fractal dimension error,0.01845580964841866,,0.0,0.00922790482420933,0.00922790482420933,0.0,0.01845580964841866
concave points error,0.0,,0.0,0.0,0.0,0.0,0.0
concavity error,0.0,,0.0,0.0,0.0,0.0,0.0
worst compactness,0.0,,0.0,0.0,0.0,0.0,0.0
worst smoothness,0.0,,0.0,0.0,0.0,0.0,0.0
mean area,0.0,,0.0,0.0,0.0,0.0,0.0
mean compactness,0.0,,0.0,0.0,0.0,0.0,0.0
worst radius,0.0,,0.0,0.0,0.0,0.0,0.0
mean symmetry,0.0,,0.0,0.0,0.0,0.0,0.0
mean fractal dimension,0.0,,0.0,0.0,0.0,0.0,0.0
radius error,0.0,,0.0,0.0,0.0,0.0,0.0
texture error,0.0,,0.0,0.0,0.0,0.0,0.0
perimeter error,0.0,,0.0,0.0,0.0,0.0,0.0
area error,0.0,,0.0,0.0,0.0,0.0,0.0
worst symmetry,0.0,,0.0,0.0,0.0,0.0,0.0
symmetry error,0.0,,0.0,0.0,0.0,0.0,0.0
mean radius,0.0,,0.0,0.0,0.0,0.0,0.0
