,split_0,split_1,split_2,mean,std,min,max
worst fractal dimension,0.33886652585624577,0.0,0.058609465682271704,0.13249199717950583,0.1478774310745226,0.0,0.33886652585624577
compactness error,0.14504287706790328,0.04255088235860309,0.20319769643271102,0.13026381861973912,0.06641116946468638,0.04255088235860309,0.20319769643271102
worst area,0.30548452373526097,0.0,0.06312592550238622,0.1228701497458824,0.13167441616422093,0.0,0.30548452373526097
worst texture,0.13711314815146974,0.07448062125532234,0.14547681158714576,0.11902352699797929,0.03168112535370475,0.03168112535370475,0.14547681158714576
worst concave points,0.21220605459040548,0.07122915591231516,0.020673793251524582,0.10136966791808173,0.08104521220229961,0.020673793251524582,0.21220605459040548
radius error,0.2236700934058158,0.04375111143514172,0.03250897142641032,0.09997672542245595,0.0875847528218397,0.03250897142641032,0.2236700934058158
mean compactness,0.13151710287573037,0.0,0.1443044036676426,0.09194050218112433,0.06522101257199096,0.0,0.1443044036676426
worst concavity,0.12118718669213849,0.030230014464603362,0.10675760415767854,0.08605826843814013,0.03991364569776432,0.030230014464603362,0.12118718669213849
mean symmetry,0.2188200656302602,0.0,0.03777468971585297,0.08553158511537107,0.09550251680543374,0.0,0.2188200656302602
worst compactness,0.0,0.12042875749533624,0.08659591943775968,0.0690082256443653,0.050713355490740165,0.0,0.12042875749533624
fractal dimension error,0.13407147832200247,0.009569533779940253,0.0577816259589466,0.06714087935362976,0.05125674112913084,0.009569533779940253,0.13407147832200247
smoothness error,0.098722323900685,0.0468844529869652,0.03222995271885518,0.059278909868835127,0.028525144199377944,0.028525144199377944,0.098722323900685
texture error,0.060970814312534975,0.05688097939648389,0.04829266489886138,0.05538148620262675,0.005283321431175402,0.005283321431175402,0.060970814312534975
perimeter error,0.13455261405934105,0.0,0.024021937561414682,0.05285818387358524,0.058593220959326134,0.0,0.13455261405934105
worst symmetry,0.020904998061989793,0.07587147754085265,0.023136956519492494,0.03997114404077831,0.025401717378967695,0.020904998061989793,0.07587147754085265
mean concave points,0.0,0.08452046834123038,0.031107849808910664,0.038542772716713684,0.03490354281099998,0.0,0.08452046834123038
worst perimeter,0.0,0.03951152506098719,0.05421221420163016,0.03124124642087245,0.022891616715145762,0.0,0.05421221420163016
mean area,0.0480933036866184,0.042829558334214396,0.0,0.030307620673610935,0.021538193315679247,0.0,0.0480933036866184
worst radius,0.05965174528920646,0.01993705718572542,0.009906250860444527,0.029831684445125472,0.021479933122837278,0.009906250860444527,0.05965174528920646
mean radius,0.06649318089358731,0.0,0.01029596009718442,0.025596380330257244,0.02922228511277309,0.0,0.06649318089358731
worst smoothness,0.0,0.03934271196459297,0.023539943863458493,0.020960885276017156,0.016164795154497997,0.0,0.03934271196459297
area error,0.0,0.017138617709276105,0.044292771117601104,0.02047712960895907,0.01823589207391645,0.0,0.044292771117601104
mean fractal dimension,0.0,0.035031961405673204,0.007030571148404619,0.014020844184692608,0.015131810154407292,0.0,0.035031961405673204
mean concavity,0.0,0.019885092347850047,0.011685567309519177,0.010523553219123074,0.008159531521696592,0.0,0.019885092347850047
mean texture,0.0,0.0,0.028401919755081786,0.009467306585027263,0.013388793371689665,0.0,0.028401919755081786
mean smoothness,0.0,0.006463036141510449,0.016845108951698166,0.007769381697736205,0.006938747626329914,0.0,0.016845108951698166
concavity error,0.0,0.0,0.0033572303958913368,0.0011190767986304455,0.0015826135859602411,0.0,0.0033572303958913368
symmetry error,0.0,0.0016201574006857687,0.0,0.0005400524668952562,0.0007637495230763184,0.0,0.0016201574006857687
mean perimeter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concave points error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
