,split_0,split_1,split_2,mean,std,min,max
worst concavity,0.07630238235295975,0.052318577289697105,0.06518701963722179,0.06460265975995955,0.009800062369793406,0.009800062369793406,0.07630238235295975
worst area,0.0500518583047296,0.07106461420989872,0.06795085816963159,0.06302244356141996,0.009259263131062508,0.009259263131062508,0.07106461420989872
worst radius,0.04786101940635747,0.06506160257545807,0.04857118742400619,0.053831269801940584,0.00794633522685263,0.00794633522685263,0.06506160257545807
worst texture,0.07323271430545508,0.03997645478906336,0.03429501888242118,0.049168062658979876,0.017173628477794516,0.017173628477794516,0.07323271430545508
mean concave points,0.04819844514496911,0.03836633919687083,0.044345840855450396,0.04363687506576345,0.004045124737414758,0.004045124737414758,0.04819844514496911
worst perimeter,0.05649833737138,0.029791762596513158,0.04340880676847319,0.04323296891212212,0.010903622433704714,0.010903622433704714,0.05649833737138
worst fractal dimension,0.054651545575481804,0.02073675916017132,0.05283400117146158,0.0427407686357049,0.015576867285918458,0.015576867285918458,0.054651545575481804
area error,0.029997849011128834,0.05541468672031279,0.03525063691684776,0.04022105754942979,0.010955446765037223,0.010955446765037223,0.05541468672031279
radius error,0.039037318643418126,0.04738377931188946,0.018027608305092757,0.03481623542013345,0.012350690985487259,0.012350690985487259,0.04738377931188946
mean concavity,0.03199889611715379,0.017810117469671254,0.03468072717334155,0.028163246920055535,0.0074021853311840285,0.0074021853311840285,0.03468072717334155
worst smoothness,0.009683508983262337,0.03653790801872303,0.026139409272440663,0.024120275424808674,0.011055838970424269,0.009683508983262337,0.03653790801872303
perimeter error,0.02791285215513143,0.011578272904658758,0.03251281887711423,0.024001314645634805,0.008982905915658628,0.008982905915658628,0.03251281887711423
worst concave points,0.022307111848108695,0.03272393737917983,0.014121103831695476,0.023050717686327996,0.007612755358862199,0.007612755358862199,0.03272393737917983
worst symmetry,0.006986817100202244,0.027047011332048388,0.03373794113669741,0.022590589856316012,0.011366630359111531,0.006986817100202244,0.03373794113669741
mean area,0.01984805270716241,0.017077981059625116,0.01311089270613998,0.016678975490975835,0.002764867121907065,0.002764867121907065,0.01984805270716241
mean perimeter,0.015429581826096286,0.023438302290107845,0.009277727866645692,0.01604853732761661,0.005797574000404498,0.005797574000404498,0.023438302290107845
concave points error,0.017107822820538587,0.0158993333659743,0.009392944739426212,0.014133366975313033,0.0033880981805250697,0.0033880981805250697,0.017107822820538587
mean radius,0.016316602110050468,0.010920233438163531,0.014014954094647316,0.013750596547620439,0.002210974505390967,0.002210974505390967,0.016316602110050468
fractal dimension error,0.02064929391074125,0.011035446457409268,0.005476938311144089,0.012387226226431534,0.006267406428931096,0.005476938311144089,0.02064929391074125
mean texture,0.010770253738541274,0.011764505047591805,0.012760592191447762,0.011765116992526947,0.0008125523860597135,0.0008125523860597135,0.012760592191447762
mean smoothness,0.015214292282431995,0.005523016758172705,0.013074492939270148,0.011270600659958283,0.004156980140943465,0.004156980140943465,0.015214292282431995
smoothness error,0.01845415169227039,0.0074035782415124655,0.006769802684917317,0.010875844206233389,0.005364915415843179,0.005364915415843179,0.01845415169227039
mean symmetry,0.017821123625453943,0.002993204846363919,0.007318396770367582,0.00937757508072848,0.006226125350232852,0.002993204846363919,0.017821123625453943
symmetry error,0.004586465847263134,0.006114333559323306,0.01680244885821192,0.009167749421599453,0.005434462350097878,0.004586465847263134,0.01680244885821192
mean compactness,0.013318647282573494,0.006168070189841851,0.007510752189785605,0.008999156554066983,0.0031031380733577336,0.0031031380733577336,0.013318647282573494
concavity error,0.0033561628764129767,0.01047076946321011,0.013062334292041679,0.008963088877221588,0.004103434857889745,0.0033561628764129767,0.013062334292041679
mean fractal dimension,0.005103910719421782,0.010799816711920101,0.0076566333161459735,0.007853453582495952,0.0023295049448010937,0.0023295049448010937,0.010799816711920101
worst compactness,0.0088765365489405,0.0053897816111019336,0.006054351922383487,0.006773556694141973,0.001511579003762961,0.001511579003762961,0.0088765365489405
compactness error,0.003993020655531133,0.007830154452412362,0.006452263917547809,0.006091813008497101,0.00158710272449909,0.00158710272449909,0.007830154452412362
texture error,0.007576461966810127,0.0014470231680657072,0.008247364099007387,0.005756949744627741,0.0030598614063672347,0.0014470231680657072,0.008247364099007387
