,split_0,split_1,split_2,mean,std,min,max
worst area,0.023070372974927634,0.02719027341277792,0.026600316139597947,0.0256203208424345,0.0018191001422492017,0.0018191001422492017,0.02719027341277792
worst concavity,0.03276472321509484,0.012555466220493475,0.025894038727082788,0.023738076054223702,0.008390059529130581,0.008390059529130581,0.03276472321509484
worst perimeter,0.028078387618430595,0.013394120076393607,0.018663255115134773,0.020045254269986327,0.006073953658013208,0.006073953658013208,0.028078387618430595
worst texture,0.027758836119598996,0.013660119814178296,0.018494850475477307,0.019971268803084866,0.005849689944703936,0.005849689944703936,0.027758836119598996
area error,0.016043301178536303,0.02538130517058331,0.014121865075535775,0.01851549047488513,0.004917827281176603,0.004917827281176603,0.02538130517058331
worst radius,0.014866281345687904,0.02330534863225364,0.014418716958885603,0.017530115645609048,0.0040877920289241945,0.0040877920289241945,0.02330534863225364
radius error,0.017486867522963814,0.022662798059028915,0.00899685253512491,0.01638217270570588,0.005633517536142369,0.005633517536142369,0.022662798059028915
mean concave points,0.01624585482996612,0.013296257211902892,0.01687626807987567,0.015472793373914892,0.00156041393329352,0.00156041393329352,0.01687626807987567
mean concavity,0.015691635656103504,0.00758056963657723,0.02120267793058247,0.01482496107442107,0.00559486682691092,0.00559486682691092,0.02120267793058247
fractal dimension error,0.022185270928173677,0.008910391271746755,0.006725696687856025,0.012607119629258819,0.006831249731193585,0.006725696687856025,0.022185270928173677
worst fractal dimension,0.0177235505461259,0.004500734306603515,0.01449970595982243,0.012241330270850614,0.0056294412328074155,0.004500734306603515,0.0177235505461259
worst concave points,0.00921356439325154,0.019124086928126536,0.006472522802065112,0.011603391374481062,0.005434394996018143,0.005434394996018143,0.019124086928126536
worst symmetry,0.008910956011923212,0.016258331054318204,0.009120766896846313,0.01143001798769591,0.0034152072122439602,0.0034152072122439602,0.016258331054318204
concave points error,0.007750896875795277,0.010041654269627127,0.011685988160991817,0.00982617976880474,0.0016137033599944223,0.0016137033599944223,0.011685988160991817
perimeter error,0.010274457739223333,0.007669639147510732,0.011459713218921084,0.009801270035218383,0.0015830551304593214,0.0015830551304593214,0.011459713218921084
worst smoothness,0.00871810353941359,0.015479383101554733,0.005048342035044473,0.009748609558670933,0.004320348089726111,0.004320348089726111,0.015479383101554733
mean area,0.01022431530233179,0.010842158581887064,0.005704036472484731,0.008923503452234529,0.0022904378482140864,0.0022904378482140864,0.010842158581887064
mean perimeter,0.008446642474093363,0.007323014073479632,0.01069233422557254,0.00882066359104851,0.0014007137273002706,0.0014007137273002706,0.01069233422557254
mean radius,0.010689983793337795,0.006477580133645623,0.008578064948837387,0.008581876291940268,0.0017197087045580687,0.0017197087045580687,0.010689983793337795
mean symmetry,0.013407114832298278,0.004214986826081441,0.00687833762348718,0.008166813093955633,0.0038616862550935925,0.0038616862550935925,0.013407114832298278
smoothness error,0.009722451519521573,0.0066827920109999925,0.006506846673575956,0.00763736340136584,0.0014761286158498014,0.0014761286158498014,0.009722451519521573
mean fractal dimension,0.0060642697744080565,0.006136894532782069,0.006459580617950336,0.006220248308380153,0.00017181104870442047,0.00017181104870442047,0.006459580617950336
symmetry error,0.007919729220741556,0.0035966276838970126,0.006274810164180253,0.005930389022939607,0.0017816230739351212,0.0017816230739351212,0.007919729220741556
texture error,0.0068200800889872525,0.00464627873817296,0.005741316836444891,0.005735891887868368,0.000887458975859656,0.000887458975859656,0.0068200800889872525
mean smoothness,0.00582055132282795,0.004701700450820514,0.006087645178407627,0.005536632317352031,0.0006003711064746847,0.0006003711064746847,0.006087645178407627
compactness error,0.009091006449477147,0.0012107596965817641,0.004763189579565575,0.005021651908541496,0.003222284314297783,0.0012107596965817641,0.009091006449477147
mean compactness,0.008256558344536228,0.00402176635822766,0.0024823238300613884,0.004920216177608426,0.002441427876673419,0.002441427876673419,0.008256558344536228
mean texture,0.003149311174915146,0.005871715704746615,0.005212372969473726,0.004744466616378496,0.0011596188662550248,0.0011596188662550248,0.005871715704746615
concavity error,0.006044588847293356,0.0032077280781548385,0.0014073016371261829,0.0035532061875247923,0.0019088608313922713,0.0014073016371261829,0.006044588847293356
worst compactness,0.003778058462055754,0.002091095687104912,0.00240751747675694,0.002758890541972535,0.0007321466721164157,0.0007321466721164157,0.003778058462055754
