,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,4.183103490421647,4.834067263657749,6.552169205685767,6.52642395788528,5.523940979412611,1.0411527653285668,1.0411527653285668,6.552169205685767
s5,3.5285681762157037,4.648541950661453,5.412264834906625,4.924566873241864,4.628485458756412,0.6914106243364714,0.6914106243364714,5.412264834906625
bp,2.5212559251864657,3.8195023812418945,3.3017102090507433,3.747868877099564,3.347584348144667,0.5166859378068065,0.5166859378068065,3.8195023812418945
s3,1.8843024189502713,3.085338234148229,2.779982010232223,2.4246881327818346,2.5435776990281393,0.4467018299865887,0.4467018299865887,3.085338234148229
s4,1.5366129956186263,2.1216518480973394,2.139428596899255,2.5041299186969006,2.07545583982803,0.34653270461713515,0.34653270461713515,2.5041299186969006
sex,1.488691781591735,1.180176137854898,1.8633699235744372,1.5895815109313713,1.5304548384881103,0.2443193291119587,0.2443193291119587,1.8633699235744372
s6,0.9318710137860725,1.4729289870992488,1.5687966407756058,1.9445709702975666,1.4795419029896235,0.36201021228555186,0.36201021228555186,1.9445709702975666
s2,0.3908102068938074,0.19813416168407116,0.30228127181046616,0.19609348032954524,0.2718297801794725,0.08101028728509659,0.08101028728509659,0.3908102068938074
age,0.0724646214697696,0.22320849736967377,0.014523441712520629,0.049256266728784984,0.08986320682018724,0.0797005035648895,0.014523441712520629,0.22320849736967377
s1,0.0016514167437478887,0.0,0.0,0.0,0.0004128541859369722,0.0007150844261603242,0.0,0.0016514167437478887
