,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,5.8111274941843005,11.949540693257521,11.123897030410633,9.51398267586597,9.599636973429606,2.356138628497458,2.356138628497458,11.949540693257521
s5,5.253480260811738,7.8071124303177655,7.5456800089828615,7.880930495672603,7.121800798946241,1.0858435829415563,1.0858435829415563,7.880930495672603
s3,5.038486622392464,5.6865760135117105,4.813757485646891,3.2717796415839246,4.702649940783748,0.8860913458788452,0.8860913458788452,5.6865760135117105
bp,3.224059097345353,2.8448555033922522,6.4610556440035385,5.960118713978237,4.622522239679845,1.6035248355296061,1.6035248355296061,6.4610556440035385
s4,1.5235887331029065,3.566889645804556,3.4997927664349797,3.342239671687703,2.9831277042575364,0.8466014712283826,0.8466014712283826,3.566889645804556
s6,1.384025540059157,0.9299874608641238,2.4301900474394182,4.088029603749023,2.2080581630279306,1.2140973679492741,0.9299874608641238,4.088029603749023
sex,0.8488783246136484,1.1680584644379641,0.5534079546314004,1.9886612065598686,1.1397514875607204,0.5361564443989301,0.5361564443989301,1.9886612065598686
age,0.0,0.26383879564242424,0.0,0.0,0.06595969891060606,0.11424554976511524,0.0,0.26383879564242424
s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
