,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,7.037459482643226,15.698260902480296,11.037030389113129,13.54267290088111,11.828855918779439,3.220789152276164,3.220789152276164,15.698260902480296
s5,3.9696709301876747,10.148007030541859,8.960427427688513,8.78201610706958,7.965030373871906,2.3657221493023024,2.3657221493023024,10.148007030541859
bp,3.9279320841921987,2.4473229463893977,7.212700883655164,6.049756610934288,4.909428131292763,1.8459896292543663,1.8459896292543663,7.212700883655164
s3,1.9860870700637931,3.2672562205541906,2.911752295864813,3.471800616740827,2.909224050805906,0.5694004970911368,0.5694004970911368,3.471800616740827
s4,1.3433500711424564,3.9260989416964343,2.9596468625657497,2.57929263402815,2.7020971273581975,0.9254440574618445,0.9254440574618445,3.9260989416964343
s6,1.8664693548960067,2.991326883485776,2.5802815109917363,2.8499804163825595,2.5720145414390196,0.4332869201999594,0.4332869201999594,2.991326883485776
sex,1.1105314700683395,0.43313431955991166,1.2243045975097393,0.7061977058749491,0.8685420232532348,0.31664706197595194,0.31664706197595194,1.2243045975097393
s2,0.09582281363913775,0.0,0.34196447168100197,0.13195598018590457,0.14243581637651107,0.12488218954802748,0.0,0.34196447168100197
s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
