,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,4.274018214210247,6.430844506433321,9.671006415723705,9.622819904203501,7.4996722601426935,2.2786884783145243,2.2786884783145243,9.671006415723705
s5,5.426174747765177,7.07941750092113,8.158203455645145,8.64731531754582,7.327777755469318,1.2357753675518848,1.2357753675518848,8.64731531754582
bp,2.3046684354558646,4.049924427875065,4.330734115400968,4.265686740350596,3.737753429770623,0.8338949284739383,0.8338949284739383,4.330734115400968
s3,2.680721680521599,3.584864109771348,3.929859270566162,4.559708735789845,3.6887884491622387,0.6788991392223309,0.6788991392223309,4.559708735789845
sex,3.3358363608875905,2.4574304848646613,4.866768163241104,4.0595497973656425,3.679896201589749,0.8896068666399609,0.8896068666399609,4.866768163241104
s1,2.277928971741231,0.5389980010794329,0.0,0.0,0.704231743205166,0.934840875886712,0.0,2.277928971741231
s2,0.0,0.0,0.7001824532820414,0.10880999232399849,0.20224811140150997,0.2908942625988421,0.0,0.7001824532820414
s6,0.02327883466155455,0.0,0.022555676466411517,0.48460862909290614,0.13261078505521806,0.2034414564583128,0.0,0.48460862909290614
s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
