,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,9.440471787437327,17.09890237494369,14.86642403816852,17.69288183289585,14.774670008361346,3.255000223072834,3.255000223072834,17.69288183289585
s5,9.090048477546004,13.360080340870875,12.809565894951675,13.066349563958802,12.081511069331839,1.7380706623858333,1.7380706623858333,13.360080340870875
bp,4.039603073356376,5.592469796785218,6.786670447388226,9.542166411501288,6.490227432257777,2.013314339263478,2.013314339263478,9.542166411501288
s3,3.022601812987133,4.358138744685301,8.426714430686621,3.850951576094338,4.914601641113348,2.083002761173747,2.083002761173747,8.426714430686621
sex,3.0640895756175595,0.7060031209133807,3.4280378564403997,3.66401478579743,2.7155363346921924,1.1797227311686715,0.7060031209133807,3.66401478579743
s6,0.0,0.0,0.06273259648753916,1.0254663318219113,0.2720497320773626,0.4357385539141836,0.0,1.0254663318219113
s1,0.7239452653298425,0.0,0.0,0.0,0.18098631633246062,0.3134774953625547,0.0,0.7239452653298425
s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
