,split_0,split_1,split_2,split_3,mean,std,min,max
s5,5.581678626902395,8.168816474829297,8.442402505900182,7.305667166514252,7.374641193536531,1.1169490565097329,1.1169490565097329,8.442402505900182
bmi,4.788656670301062,9.941459119579317,6.976099735855523,7.402097153529633,7.2770781698163844,1.830121933691027,1.830121933691027,9.941459119579317
bp,3.611342668165145,4.956753751516432,4.963954593551247,5.5722653734633045,4.776079096674032,0.71736742128293,0.71736742128293,5.5722653734633045
sex,3.260138373690919,2.711282755886545,5.035523428595847,4.571711965316588,3.894664130872475,0.9437913067142739,0.9437913067142739,5.035523428595847
s3,3.090377542011293,2.1786261138908505,4.6170546135029085,5.004351921063174,3.7226025476170563,1.1430767297202848,1.1430767297202848,5.004351921063174
s1,2.117261873271085,0.5541381431167062,0.0,0.029151518218646262,0.6751378836516093,0.8613176076384905,0.0,2.117261873271085
s2,0.0,0.0029751547419889363,0.9194834823845857,0.2789021289980453,0.300340191531155,0.3749760661987583,0.0,0.9194834823845857
s6,0.061881229715267265,0.0,0.05474697472794324,0.549952748069333,0.1666452381281359,0.22259380122704145,0.0,0.549952748069333
s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
