,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,4.454969306134617,5.851371126850607,9.051472896019169,9.45545859523556,7.203317981059989,2.113586683299125,2.113586683299125,9.45545859523556
s5,4.35099520681149,6.748196371413979,7.474317936712025,8.48669568678168,6.765051300429794,1.5243908181768764,1.5243908181768764,8.48669568678168
sex,3.576951834386488,4.087481702853108,5.513333956059278,6.014542064245453,4.798077389386082,0.998432785937814,0.998432785937814,6.014542064245453
bp,2.7659488852961513,4.579409200384412,4.704788855602543,5.119978996506524,4.292531484447408,0.9037946090259118,0.9037946090259118,5.119978996506524
s3,2.7202556007470107,3.235315408746169,2.851779769369527,3.329891759316029,3.0343106345446835,0.25481326573008933,0.25481326573008933,3.329891759316029
s4,1.2579294931459912,2.425198236726997,1.9972943749607566,2.8506053080795977,2.1327568532283356,0.5883241793182551,0.5883241793182551,2.8506053080795977
s2,1.3397327419359875,0.9752940205854443,1.82093558086534,0.856381907860066,1.2480860628117094,0.37563390669544955,0.37563390669544955,1.82093558086534
s1,1.1377475326864075,1.2629219938452152,0.7936058449808003,0.980063213996956,1.0435846463773446,0.1757127589786838,0.1757127589786838,1.2629219938452152
s6,0.31063181840516946,0.7617274186917692,0.9364277885196531,1.6004711860482286,0.9023145529162051,0.46326007756374693,0.31063181840516946,1.6004711860482286
age,0.048199526436904616,0.009741353026372161,0.4425513182535545,0.015397382936954482,0.12897239516344644,0.1816392868709903,0.009741353026372161,0.4425513182535545
