,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,9.041172887178877,15.917825581686499,14.242180869416154,15.425423933521312,13.656650817950709,2.7334479882161604,2.7334479882161604,15.917825581686499
s5,7.666678511770193,12.178232418687072,12.00315472627114,11.01526592343465,10.715832895040766,1.8154071482338712,1.8154071482338712,12.178232418687072
bp,4.345427032852702,6.389363895891738,7.648876373520134,9.562043745719174,6.986427761995937,1.8976304941994997,1.8976304941994997,9.562043745719174
s3,2.778616283870257,4.095910317638483,6.403795655706383,3.77477813525216,4.263275098116821,1.327844146036735,1.327844146036735,6.403795655706383
sex,3.308583062516265,1.8221630599850265,5.172884655745684,5.900970492085067,4.05115031758301,1.596865126289601,1.596865126289601,5.900970492085067
s4,1.4127874528458741,2.706286192470055,3.094355529961559,2.998880445972053,2.5530774053123855,0.6736943794190979,0.6736943794190979,3.094355529961559
s6,0.4898364324238423,0.5932350731777679,1.1169191005407948,2.52177483262576,1.1804413596920413,0.8100859447473933,0.4898364324238423,2.52177483262576
s2,0.4698850645126817,0.32047259545782875,0.7793945497506639,0.7131062788810143,0.5707146221505472,0.18480419888787972,0.18480419888787972,0.7793945497506639
s1,0.3794706185981785,0.3130874536309315,0.0,0.883302029661802,0.39396502547272805,0.31678479067899357,0.0,0.883302029661802
age,0.0,0.0,0.0,0.030275678711519836,0.007568919677879959,0.01310975344049595,0.0,0.030275678711519836
