,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,4.48801024898192,9.517677637416691,6.611258682390841,7.248372141815487,6.966329677651235,1.792837622707799,1.792837622707799,9.517677637416691
s5,4.8116643703112,7.5050374190168005,7.808638404021231,7.130888086516884,6.814057069966529,1.180741746689867,1.180741746689867,7.808638404021231
bp,3.887155868598474,5.550349680633668,5.2009636838337,5.840560659042794,5.119757473027159,0.746804533685934,0.746804533685934,5.840560659042794
sex,3.5073832098497917,4.638448572557899,5.650796926732239,6.068723889331882,4.966338149617953,0.9899241420068448,0.9899241420068448,6.068723889331882
s3,2.6378595949313715,2.15129702662508,3.4206186541875176,3.570794962562383,2.945142559576588,0.5792521032453354,0.5792521032453354,3.570794962562383
s4,1.3995072935154167,1.8582414654212982,2.0949503710199266,2.960543087816301,2.0783105544432354,0.5674097719961184,0.5674097719961184,2.960543087816301
s2,1.6220483987718213,1.117582707275805,1.681879800619886,1.6309617251481887,1.5131181579539252,0.2295003749845361,0.2295003749845361,1.681879800619886
s1,1.2871270600584102,1.2065942987048848,0.7853139813730003,1.6537061874927577,1.2331853819072633,0.30864353617661955,0.30864353617661955,1.6537061874927577
s6,0.342387254163551,0.6972552162061683,0.7949486674596313,1.4262815427063886,0.8152181701339348,0.3909263458872533,0.342387254163551,1.4262815427063886
age,0.14285046356253872,0.0,0.2805925718990593,0.1251951574217104,0.1371595482208271,0.09945012206408073,0.0,0.2805925718990593
