,split_0,split_1,split_2,split_3,mean,std,min,max
bmi,9.541998044099119,21.202331870591408,15.64431817235785,22.772424617851033,17.290268176224853,5.1986325859514695,5.1986325859514695,22.772424617851033
s5,6.810980939732172,12.846639086837875,12.266507876052728,13.304569187766015,11.307174272597198,2.621813008713923,2.621813008713923,13.304569187766015
bp,4.682199834809141,8.052573440918248,10.111182930043265,8.297084726220525,7.785760232997795,1.9603775076773753,1.9603775076773753,10.111182930043265
sex,3.097753918958969,3.9165899250975524,4.7843592308288025,5.4354063342145675,4.308527352274973,0.8825898637294056,0.8825898637294056,5.4354063342145675
s3,1.8926824735857857,2.0077657164823473,3.2792340889911338,4.4893746294486565,2.9172642271269806,1.058242482673552,1.058242482673552,4.4893746294486565
s4,0.9260815726829518,1.4078212241801276,2.672718909505,1.9353194130485358,1.7354852798541538,0.648235808155737,0.648235808155737,2.672718909505
s6,0.5821354017020923,0.7583406971571645,1.2691693984567674,2.065176653686287,1.168705537750578,0.5758075364030512,0.5758075364030512,2.065176653686287
s2,0.7518912407901261,0.5921310402477117,0.9928373575153084,0.7903360765818991,0.7817989287837612,0.1427221768304207,0.1427221768304207,0.9928373575153084
s1,0.09940222286434632,0.3646707365130355,0.2413422238379448,0.7135388309087082,0.35473850353100866,0.22742672262251076,0.09940222286434632,0.7135388309087082
age,0.0,0.0,0.031894389383188615,0.0,0.007973597345797154,0.013810675722017017,0.0,0.031894389383188615
